LipidIon,Class,FattyAcid,FA1,FA2,FA3,FA4,CalcMz,IonFormula,GroupArea[c],GroupHeight[c],GroupTopPos[c],ASH10,ASH14,ASH18,ASH2,ASH22,ASH6,EV1,EV13,EV17,EV21,EV5,EV9,P-A11,P-A15,P-A19,P-A23,P-A3,P-A7,PRX12,PRX16,PRX20,PRX24,PRX4,PRX8,QC_MSMS,blank,,Filename,dLPC-,dLPE-,dPI-,dPS-,dPG-,dCer-,dPC-,dPE-
CL(20:5/20:3/20:4/18:2)-H,CL,(20:5/20:3/20:4/18:2),(20:5),(20:3),(20:4),(18:2),1519.964955,C87 H141 O17 P2,1.12E+07,1043120.905,20.514,1.73E+07,1.32E+07,1.29E+07,2.20E+07,1.18E+07,2.38E+07,1.26E+07,1.98E+07,1.48E+07,1.26E+07,1.39E+07,1.65E+07,5078084.351,8661604.575,6064941.922,4514022.205,5807411.349,5657629.943,5781501.622,3997924.461,6673821.425,4605660.559,1.83E+07,4752850.302,8062437.37,0,,,,,,,,,,
CL(18:3/20:4/20:4/20:4)-H,CL,(18:3/20:4/20:4/20:4),(18:3),(20:4),(20:4),(20:4),1517.949305,C87 H139 O17 P2,5268007.314,427726.5396,20.312,1.02E+07,7231289.874,7224398.716,1.17E+07,6535046.633,1.16E+07,6868566.929,9692209.104,9151475.217,6833510.005,211323.5358,7997692.801,1799695.171,3745911.818,2889417.248,2378412.663,2867239.612,3337010.438,3051782.29,1887430.769,3148971.224,40076.6655,6380205.067,2099858.898,6522550.396,0,,,,,,,,,,
CL(20:5/20:4/18:2/20:4)-H,CL,(20:5/20:4/18:2/20:4),(20:5),(20:4),(18:2),(20:4),1517.949305,C87 H139 O17 P2,726681.1062,85554.45496,20.698,1291637.351,919213.832,848875.215,1585512.05,850417.48,1459902.803,778334.695,996285.225,1176732.303,989562.714,1264739.295,1423207.732,314915.554,245989.635,199137.766,302417.872,398866.189,407729.553,279696.32,298054.415,509834.36,315075.329,788177.177,377891.163,780476.286,0,,,,,,,,,,
CL(18:4/20:4/20:4/20:4)-H,CL,(18:4/20:4/20:4/20:4),(18:4),(20:4),(20:4),(20:4),1515.933655,C87 H137 O17 P2,1329656.095,117818.439,19.909,2413445.006,2053200.263,2061274.703,3247441.241,1999868.488,2754149.854,1970773.471,2602555.512,2254818.128,1671734.388,1958566.209,2223574.985,556890.386,976875.535,744763.214,676773.034,14788.1358,9701.1867,17314.2276,559189.837,947061.641,672057.278,24975.8442,8116.5282,163843.2681,0,,,,,,,,,,
CL(19:1/20:4/20:3/20:3)-H,CL,(19:1/20:4/20:3/20:3),(19:1),(20:4),(20:3),(20:3),1540.027555,C88 H149 O17 P2,10545.33726,10451.37778,21.67,7709.466,12131.3286,9258.1287,6160.4559,14708.3124,9851.9433,2997.7521,8548.716,900.0702,12098.6046,2710.017,19847.1573,8814.0714,11109.6792,4724.0292,7142.0079,19804.1718,1823.7654,2448.6084,5484.7344,12438.4383,5427.9627,5929.3245,4140.264,55611.8427,0,,,,,,,,,,
CL(19:1/20:3/20:4/20:4)-H,CL,(19:1/20:3/20:4/20:4),(19:1),(20:3),(20:4),(20:4),1538.011905,C88 H147 O17 P2,1746929.909,139350.4976,21.355,2841761.472,2003544.955,1570421.794,2907709.407,1590640.25,4034002.407,937462.123,1660334.347,1280743.927,2157826.538,1142093.37,1123205.974,1862172.085,3023244.354,14402.5143,2157520.316,520191.691,1555771.928,1017011.903,1510058.39,677893.206,190910.589,5330352.06,264775.083,2571809.309,0,,,,,,,,,,
CL(17:0/22:6/20:3/20:4)-H,CL,(17:0/22:6/20:3/20:4),(17:0),(22:6),(20:3),(20:4),1535.996255,C88 H145 O17 P2,137060.089,36357.06667,21.139,108013.6428,12484.9926,11320.4058,7559.415,13325.4342,23161.3233,9854.7354,6801.5556,7680.6594,6028.1556,9920.0805,20732.2818,9099.8985,21758.0886,4597.0416,730133.875,833298.447,894199.504,19092.0555,4389.8202,15292.176,5088.1434,66973.6782,13620.1572,255592.3632,0,,,,,,,,,,
CL(17:1/22:6/20:4/20:3)-H,CL,(17:1/22:6/20:4/20:3),(17:1),(22:6),(20:4),(20:3),1533.980605,C88 H143 O17 P2,2059660.714,240334.4321,20.705,3839326.812,3595981.934,3352959.642,4953933.524,3018198.77,6424244.744,1469599.972,2460470.129,1949855.498,1623653.714,1570996.79,1809963.408,873614.913,1435221.389,1055473.712,973259.596,1402736.255,1356094.227,997188.148,744117.587,1675024.299,721590.571,17566.677,917031.093,2696130.518,0,,,,,,,,,,
CL(17:1/22:6/20:4/20:4)-H,CL,(17:1/22:6/20:4/20:4),(17:1),(22:6),(20:4),(20:4),1531.964955,C88 H141 O17 P2,1312353.599,147159.159,20.46,13801.0827,1610754.786,2143571.425,3254331.049,1495808.827,4004662.634,1374436.182,1778370.457,1328189.89,1002385.688,1342932.271,1333850.023,663171.231,1036843.028,550354.376,623019.222,947598.821,922511.833,639544.381,442692.012,916264.864,374967.129,1798303.453,566219.555,1900079.166,0,,,,,,,,,,
CL(20:4/20:3/20:3/20:3)-H,CL,(20:4/20:3/20:3/20:3),(20:4),(20:3),(20:3),(20:3),1550.011905,C89 H147 O17 P2,1.36E+07,1596074.619,21.18649711,1.94E+07,1.71E+07,1.45E+07,2.53E+07,1.38E+07,2.82E+07,1.06E+07,1.84E+07,1.51E+07,1.10E+07,1.16E+07,1.35E+07,7768297.798,1.19E+07,8443974.705,8672348.827,1.17E+07,1.02E+07,9261255.845,5968909.098,9846029.865,6721289.706,2.17E+07,7544467.885,1.90E+07,0,,,,,,,,,,
CL(20:4/20:3/20:3/20:3)+H,CL,(20:4/20:3/20:3/20:3),(20:4),(20:3),(20:3),(20:3),1552.026457,C89 H149 O17 P2,4093272.47,694453.7712,21.18649711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CL(20:4/20:3/20:3/20:4)-H,CL,(20:4/20:3/20:3/20:4),(20:4),(20:3),(20:3),(20:4),1547.996255,C89 H145 O17 P2,2.31E+07,2619041.279,20.904,3.74E+07,2.89E+07,2.63E+07,4.49E+07,2.46E+07,4.96E+07,2.20E+07,3.56E+07,2.65E+07,2.12E+07,2.27E+07,2.67E+07,1.19E+07,1.89E+07,1.27E+07,1.29E+07,1.68E+07,1.52E+07,1.45E+07,9236028.451,1.51E+07,1.02E+07,3.38E+07,1.13E+07,2.54E+07,0,,,,,,,,,,
CL(20:3/20:3/20:4/20:4)-H,CL,(20:3/20:3/20:4/20:4),(20:3),(20:3),(20:4),(20:4),1547.996255,C89 H145 O17 P2,504818.8542,67458.131,21.391,63369.4083,40172.0889,11218.5537,2643104.029,10235.043,44045.8824,1193506.904,34979.388,1109558.059,40833.8466,26199.4314,1166231.22,336533.507,5184.3321,831267.655,33558.5979,994706.97,15547.344,896834.723,14911.4025,15051.8178,405003.414,19476.9846,4911.1806,1243314.22,0,,,,,,,,,,
